image,suspected_duplicate,duplicate_type,similarity_score,recommended_action
Healthy\Image_1005.jpg,Healthy\Image_SetB1006.jpg,exact,0,remove (keep anchor)
Healthy\Image_1007.jpg,Healthy\Image_1008.jpg,exact,0,remove (keep anchor)
Healthy\Image_1007.jpg,Healthy\Image_SetA1007.jpg,exact,0,remove (keep anchor)
Healthy\Image_1007.jpg,Healthy\Image_SetA1008.jpg,exact,0,remove (keep anchor)
Healthy\Image_1007.jpg,Healthy\Image_SetB1007.jpg,exact,0,remove (keep anchor)
Healthy\Image_1007.jpg,Healthy\Image_SetB1008.jpg,exact,0,remove (keep anchor)
Healthy\Image_1009.jpg,Healthy\Image_1010.jpg,exact,0,remove (keep anchor)
Healthy\Image_1009.jpg,Healthy\Image_resize_671  (1128).jpg,exact,0,remove (keep anchor)
Healthy\Image_1009.jpg,Healthy\Image_SetA1009.jpg,exact,0,remove (keep anchor)
Healthy\Image_1009.jpg,Healthy\Image_SetA1010.jpg,exact,0,remove (keep anchor)
Healthy\Image_1009.jpg,Healthy\Image_SetB1009.jpg,exact,0,remove (keep anchor)
Healthy\Image_1009.jpg,Healthy\Image_SetB1010.jpg,exact,0,remove (keep anchor)
Healthy\Image_101.jpg,Healthy\Image_102.jpg,exact,0,remove (keep anchor)
Healthy\Image_101.jpg,Healthy\Image_SetA101.jpg,exact,0,remove (keep anchor)
Healthy\Image_101.jpg,Healthy\Image_SetA102.jpg,exact,0,remove (keep anchor)
Healthy\Image_101.jpg,Healthy\Image_SetB101.jpg,exact,0,remove (keep anchor)
Healthy\Image_101.jpg,Healthy\Image_SetB102.jpg,exact,0,remove (keep anchor)
Healthy\Image_1011.jpg,Healthy\Image_1012.jpg,exact,0,remove (keep anchor)
Healthy\Image_1011.jpg,Healthy\Image_SetA1011.jpg,exact,0,remove (keep anchor)
Healthy\Image_1011.jpg,Healthy\Image_SetA1012.jpg,exact,0,remove (keep anchor)
Healthy\Image_1011.jpg,Healthy\Image_SetB1011.jpg,exact,0,remove (keep anchor)
Healthy\Image_1011.jpg,Healthy\Image_SetB1012.jpg,exact,0,remove (keep anchor)
Healthy\Image_1013.jpg,Healthy\Image_1014.jpg,exact,0,remove (keep anchor)
Healthy\Image_1013.jpg,Healthy\Image_SetA1013.jpg,exact,0,remove (keep anchor)
Healthy\Image_1013.jpg,Healthy\Image_SetA1014.jpg,exact,0,remove (keep anchor)
Healthy\Image_1013.jpg,Healthy\Image_SetB1013.jpg,exact,0,remove (keep anchor)
Healthy\Image_1013.jpg,Healthy\Image_SetB1014.jpg,exact,0,remove (keep anchor)
Healthy\Image_1015.jpg,Healthy\Image_1016.jpg,exact,0,remove (keep anchor)
Healthy\Image_1015.jpg,Healthy\Image_SetA1015.jpg,exact,0,remove (keep anchor)
Healthy\Image_1015.jpg,Healthy\Image_SetA1016.jpg,exact,0,remove (keep anchor)
Healthy\Image_1015.jpg,Healthy\Image_SetB1015.jpg,exact,0,remove (keep anchor)
Healthy\Image_1015.jpg,Healthy\Image_SetB1016.jpg,exact,0,remove (keep anchor)
Healthy\Image_1017.jpg,Healthy\Image_1018.jpg,exact,0,remove (keep anchor)
